date,crop,region,season,pest,temperature,humidity,rainfall,wind_speed,soil_moisture,soil_ph,soil_type,nitrogen,phosphorus,potassium,weather_condition,irrigation_method,previous_crop,days_since_planting,plant_density,pest_presence,severity,recommended_treatment
2020-11-12,Soybean,Southwest,Winter,Root Knot Nematodes,26.7,58.1,121.7,28.6,32.9,6.7,Loam,144.1,90.1,173.4,Humid,None,Rice,146,63444,1,10,Immediate pesticide application recommended
2023-06-21,Wheat,Southeast,Spring,White Grubs,25.4,42.1,5.5,20.6,79.5,8.2,Chalky,139.8,84.9,113.9,Cloudy,Flood,Sugarcane,72,26207,0,0,None
2023-07-24,Barley,South,Summer,Wireworms,16.5,76.0,145.5,25.8,47.4,7.8,Loam,189.3,25.5,248.3,Rainy,Furrow,Maize,116,26773,1,9,Immediate pesticide application recommended
2025-11-12,Soybean,Southeast,Summer,White Grubs,19.5,76.8,26.2,4.7,48.9,7.9,Peat,61.0,84.9,252.0,Dry,Drip,Rice,64,54442,1,10,Immediate pesticide application recommended
2024-03-14,Wheat,Southeast,Summer,Armyworms,24.2,47.1,22.5,11.7,34.8,7.6,Sandy,123.6,91.7,86.4,Sunny,Drip,Potato,29,47919,1,8,Immediate pesticide application recommended
2022-01-22,Cotton,West,Summer,Corn Borers,34.7,62.9,73.2,10.9,36.2,6.5,Sandy,13.0,12.9,176.3,Humid,Sprinkler,Sugarcane,40,72581,1,8,Immediate pesticide application recommended
2024-01-19,Rice,Northwest,Autumn,Japanese Beetles,17.4,45.3,53.6,1.1,19.9,6.1,Clay,69.0,81.0,260.8,Dry,Drip,Soybean,24,35903,1,8,Immediate pesticide application recommended
2023-08-01,Maize,Northeast,Autumn,Spider Mites,35.1,92.6,1.0,12.4,61.4,7.9,Loam,21.8,69.7,122.2,Dry,None,Barley,97,65537,1,7,Monitor closely and consider treatment
2022-09-27,Barley,Southwest,Spring,Cutworms,33.4,78.2,126.3,11.3,10.9,5.9,Loam,98.9,70.9,145.5,Humid,Sprinkler,Maize,47,79688,1,10,Immediate pesticide application recommended
2022-02-28,Cotton,South,Winter,Japanese Beetles,30.6,58.6,121.2,20.7,17.8,6.7,Peat,143.5,13.3,248.1,Sunny,Sprinkler,Cotton,27,61245,1,6,Monitor closely and consider treatment
2020-04-25,Potato,Southeast,Summer,Corn Borers,29.3,57.6,1.0,4.0,50.5,6.7,Chalky,79.1,92.7,133.1,Stormy,Sprinkler,Barley,113,73156,1,10,Immediate pesticide application recommended
2021-10-07,Rice,Southwest,Winter,Hessian Fly,26.9,51.9,136.3,13.5,47.0,7.3,Peat,22.9,79.2,178.1,Dry,Flood,Cotton,76,26400,1,10,Immediate pesticide application recommended
2022-01-22,Tomato,Central,Autumn,Hessian Fly,24.8,82.7,38.8,19.8,17.2,5.1,Loam,28.2,35.3,57.8,Sunny,Furrow,Barley,23,59525,1,10,Immediate pesticide application recommended
2025-08-17,Wheat,Northwest,Winter,Whiteflies,16.1,44.1,61.2,11.5,19.2,8.5,Chalky,64.0,73.5,105.0,Windy,Flood,Wheat,119,65597,0,0,None
2020-11-30,Soybean,Northeast,Winter,Cutworms,23.5,30.6,77.6,15.7,18.4,5.8,Loam,158.9,8.5,172.4,Windy,Drip,Tomato,55,66046,1,9,Immediate pesticide application recommended
2020-07-25,Potato,Northwest,Summer,Root Knot Nematodes,29.6,30.2,39.8,15.0,73.8,5.4,Clay,42.2,68.6,143.7,Windy,Furrow,Sugarcane,140,24218,1,10,Immediate pesticide application recommended
2024-01-27,Barley,West,Winter,Grasshoppers,37.6,36.0,67.8,11.3,30.6,8.5,Silt,149.4,41.9,257.3,Humid,Drip,Potato,44,27931,0,0,None
2025-11-08,Barley,Central,Spring,Flea Beetles,36.8,47.3,33.5,7.4,47.7,6.0,Sandy,38.0,99.5,275.1,Rainy,Sprinkler,Maize,79,26164,0,0,None
2022-08-16,Tomato,West,Spring,Thrips,31.9,63.7,132.3,17.0,18.9,6.3,Sandy,94.7,93.9,214.8,Windy,Sprinkler,Barley,121,40491,1,8,Immediate pesticide application recommended
2025-09-10,Wheat,South,Spring,Leafhoppers,33.0,42.7,61.2,24.2,52.8,7.9,Loam,58.4,76.2,100.6,Rainy,Sprinkler,Soybean,79,30177,1,10,Immediate pesticide application recommended
2022-12-26,Wheat,East,Autumn,Hessian Fly,18.4,53.5,100.0,16.8,48.4,6.8,Loam,189.3,93.8,140.0,Stormy,Drip,Soybean,122,46958,1,5,Monitor closely and consider treatment
2022-08-17,Rice,South,Winter,Boll Weevils,22.6,45.0,33.5,19.2,36.9,5.6,Silt,178.6,88.0,265.6,Rainy,Flood,Wheat,82,26753,1,8,Immediate pesticide application recommended
2025-05-30,Potato,Northeast,Summer,Boll Weevils,36.8,94.1,122.5,21.9,51.2,7.7,Silt,189.9,62.1,88.7,Cloudy,Drip,Cotton,89,74448,1,6,Monitor closely and consider treatment
2021-07-10,Maize,Central,Autumn,Boll Weevils,37.8,69.8,101.5,0.2,44.9,6.5,Chalky,144.1,41.4,294.1,Windy,None,Wheat,140,79591,1,10,Immediate pesticide application recommended
2022-04-10,Sugarcane,South,Spring,Aphids,39.9,42.9,121.6,4.9,42.0,5.4,Sandy,128.4,49.5,207.2,Windy,Flood,Sugarcane,91,60403,1,7,Monitor closely and consider treatment
2025-08-24,Maize,East,Spring,Flea Beetles,35.9,65.9,73.5,29.6,29.8,6.8,Silt,139.6,16.9,138.6,Cloudy,Furrow,Sugarcane,120,58213,1,9,Immediate pesticide application recommended
2022-02-15,Sugarcane,East,Summer,Spider Mites,30.8,73.6,109.2,26.0,37.5,7.5,Sandy,149.1,33.5,292.0,Cloudy,None,Sugarcane,33,57269,1,10,Immediate pesticide application recommended
2025-07-23,Rice,South,Summer,Aphids,32.9,58.0,129.6,20.7,56.1,5.8,Peat,87.5,46.2,233.4,Stormy,Sprinkler,Soybean,42,38379,1,9,Immediate pesticide application recommended
2023-06-28,Maize,Central,Spring,Stem Borers,26.8,77.9,111.5,14.7,18.2,6.0,Chalky,58.4,79.2,95.0,Humid,Sprinkler,Tomato,58,37705,1,10,Immediate pesticide application recommended
2024-01-08,Barley,West,Autumn,Whiteflies,40.0,91.9,107.7,22.4,63.1,8.0,Peat,190.8,47.3,154.1,Dry,Sprinkler,Barley,75,33676,1,10,Immediate pesticide application recommended
2023-01-29,Cotton,South,Winter,Thrips,36.8,59.7,54.5,29.5,26.2,5.8,Loam,145.9,22.1,149.9,Dry,Drip,Tomato,121,70858,1,10,Immediate pesticide application recommended
2022-10-21,Soybean,East,Autumn,Hessian Fly,24.3,60.0,29.4,23.0,32.0,6.2,Peat,57.9,46.3,165.9,Windy,Sprinkler,Sugarcane,44,56338,1,9,Immediate pesticide application recommended
2024-10-04,Cotton,North,Winter,Japanese Beetles,30.3,35.8,106.6,11.7,68.6,8.3,Loam,89.3,48.8,197.5,Cloudy,Drip,Cotton,51,69749,1,9,Immediate pesticide application recommended
2025-02-22,Tomato,Northeast,Autumn,White Grubs,19.2,79.6,32.9,4.3,49.4,7.4,Chalky,118.2,67.4,78.9,Stormy,Drip,Barley,119,72865,1,10,Immediate pesticide application recommended
2020-05-19,Sugarcane,Central,Autumn,Grasshoppers,16.2,49.4,141.3,29.5,67.7,5.3,Peat,116.7,43.0,251.6,Rainy,Drip,Potato,113,41504,1,9,Immediate pesticide application recommended
2024-09-06,Soybean,Northwest,Spring,Whiteflies,18.9,75.0,123.1,21.1,40.8,8.1,Clay,36.2,29.7,172.4,Cloudy,Drip,Cotton,80,28937,1,9,Immediate pesticide application recommended
2023-09-09,Tomato,Northwest,Summer,Japanese Beetles,38.6,89.0,69.9,4.3,22.5,6.3,Chalky,49.9,12.9,218.4,Rainy,None,Sugarcane,106,53839,1,10,Immediate pesticide application recommended
2023-09-07,Sugarcane,Northwest,Autumn,Wireworms,34.4,61.9,14.5,27.6,56.8,5.9,Silt,126.0,43.5,208.8,Sunny,Drip,Potato,15,77159,1,10,Immediate pesticide application recommended
2023-10-23,Wheat,South,Autumn,Wireworms,30.3,35.2,9.8,9.2,40.1,6.0,Clay,133.8,23.5,226.0,Sunny,Drip,Barley,144,37085,1,8,Immediate pesticide application recommended
2025-07-20,Rice,Northeast,Winter,White Grubs,39.0,42.5,136.4,18.2,51.4,5.2,Loam,152.2,50.4,230.3,Stormy,Furrow,Sugarcane,93,20003,0,0,None
2024-10-15,Cotton,South,Winter,Aphids,28.1,47.1,21.2,4.8,70.7,5.4,Clay,83.1,36.8,266.4,Windy,Furrow,Potato,84,37089,1,9,Immediate pesticide application recommended
2022-05-14,Maize,West,Autumn,Grasshoppers,36.3,36.4,38.0,4.1,42.5,7.5,Peat,42.1,17.4,203.7,Rainy,Furrow,Tomato,93,21222,1,5,Monitor closely and consider treatment
2022-08-23,Cotton,North,Autumn,Thrips,32.0,65.2,97.1,8.3,29.5,7.8,Chalky,146.5,60.1,207.0,Humid,None,Barley,134,42489,1,10,Immediate pesticide application recommended
2025-12-24,Wheat,East,Autumn,Flea Beetles,19.2,74.6,144.4,9.3,11.1,7.6,Peat,11.3,87.9,64.1,Stormy,Furrow,Rice,130,74489,1,10,Immediate pesticide application recommended
2025-10-21,Tomato,East,Autumn,Wireworms,37.5,78.5,51.1,8.5,61.5,7.9,Loam,146.0,65.8,107.0,Sunny,Drip,Maize,94,23650,1,10,Immediate pesticide application recommended
2020-08-09,Barley,Southwest,Autumn,White Grubs,27.8,67.0,124.2,22.3,69.9,6.8,Chalky,128.7,86.2,108.1,Humid,Sprinkler,Sugarcane,87,53696,1,8,Immediate pesticide application recommended
2023-04-12,Sugarcane,West,Autumn,Hessian Fly,15.4,43.8,35.2,9.8,29.7,7.1,Chalky,178.3,65.5,110.4,Stormy,Furrow,Tomato,23,63986,1,10,Immediate pesticide application recommended
2021-03-15,Barley,Northeast,Autumn,Hessian Fly,24.0,81.3,110.8,17.3,20.1,7.8,Chalky,68.4,78.3,211.9,Sunny,Drip,Wheat,30,75715,1,8,Immediate pesticide application recommended
2024-04-13,Potato,Southwest,Winter,Root Knot Nematodes,21.0,40.3,92.6,18.0,51.0,7.2,Peat,164.8,91.8,107.6,Sunny,Sprinkler,Wheat,85,62120,1,10,Immediate pesticide application recommended
2021-11-02,Cotton,East,Winter,Wireworms,31.4,61.6,113.7,12.8,18.9,8.1,Peat,25.7,23.0,119.2,Rainy,Furrow,Potato,22,78427,1,10,Immediate pesticide application recommended
2025-10-13,Sugarcane,Northeast,Winter,Cutworms,36.0,61.6,145.8,23.9,38.1,6.3,Sandy,186.6,70.0,205.4,Sunny,Furrow,Barley,74,39925,1,10,Immediate pesticide application recommended
2024-07-27,Soybean,West,Autumn,Stem Borers,23.0,66.3,2.7,13.1,62.9,5.6,Peat,22.3,84.4,204.3,Dry,Furrow,Barley,69,26878,1,9,Immediate pesticide application recommended
2020-05-28,Rice,East,Summer,Hessian Fly,23.4,54.5,23.4,25.1,45.6,6.9,Silt,177.9,6.5,66.7,Rainy,Furrow,Rice,132,66796,1,10,Immediate pesticide application recommended
2023-08-22,Potato,West,Spring,Wireworms,18.7,39.5,143.0,20.8,51.0,6.1,Loam,92.3,13.5,299.5,Rainy,Flood,Potato,128,78074,1,10,Immediate pesticide application recommended
2020-05-07,Maize,Southeast,Summer,Stem Borers,27.6,46.7,34.0,16.5,14.9,5.3,Silt,116.6,92.4,278.6,Cloudy,Furrow,Tomato,90,65653,1,10,Immediate pesticide application recommended
2022-01-13,Tomato,Southwest,Winter,White Grubs,36.5,74.0,30.1,2.2,13.3,7.1,Silt,16.9,75.2,228.1,Rainy,Flood,Soybean,83,62602,1,10,Immediate pesticide application recommended
2022-02-27,Soybean,Southwest,Autumn,Cutworms,19.9,54.7,20.2,23.2,45.3,8.3,Loam,49.6,70.4,297.3,Dry,Sprinkler,Potato,127,71590,1,10,Immediate pesticide application recommended
2022-04-03,Wheat,West,Winter,Stem Borers,19.5,32.0,50.2,8.0,65.2,6.3,Silt,149.3,6.5,53.7,Humid,None,Potato,82,21639,0,0,None
2021-09-12,Maize,North,Winter,Thrips,23.9,33.6,29.2,26.9,59.0,7.8,Loam,33.6,17.8,78.1,Humid,Drip,Soybean,123,42985,1,10,Immediate pesticide application recommended
2025-01-01,Soybean,South,Spring,Root Knot Nematodes,27.9,65.4,29.3,19.1,13.0,8.5,Silt,15.1,9.8,131.2,Stormy,Sprinkler,Barley,25,60762,1,9,Immediate pesticide application recommended
2024-04-21,Wheat,North,Spring,Japanese Beetles,15.4,35.1,91.2,5.8,58.6,7.7,Clay,171.6,17.7,163.9,Windy,Furrow,Cotton,111,43400,0,0,None
2022-02-03,Maize,West,Autumn,Japanese Beetles,34.3,37.6,75.4,27.7,40.8,7.9,Sandy,104.2,15.1,87.0,Rainy,None,Cotton,118,43950,1,10,Immediate pesticide application recommended
2023-12-20,Cotton,East,Summer,Cutworms,30.5,55.1,32.5,27.8,46.0,6.7,Silt,199.3,41.5,263.5,Humid,Drip,Wheat,19,37054,1,10,Immediate pesticide application recommended
2020-09-01,Wheat,South,Spring,Armyworms,39.4,57.7,0.3,15.0,53.4,7.7,Sandy,189.2,91.9,285.0,Windy,Flood,Cotton,117,25098,0,0,None
2023-10-23,Tomato,Southeast,Autumn,Boll Weevils,25.4,89.6,6.4,24.1,19.6,5.6,Peat,100.7,42.6,171.5,Sunny,Drip,Cotton,138,34092,1,7,Monitor closely and consider treatment
2020-10-15,Soybean,Southeast,Winter,Boll Weevils,19.3,57.3,67.7,18.0,28.6,7.7,Chalky,28.7,58.2,205.9,Rainy,Flood,Potato,124,47856,1,9,Immediate pesticide application recommended
2025-07-15,Tomato,Southeast,Winter,Aphids,31.1,62.4,136.4,20.8,36.7,5.8,Chalky,23.5,20.7,298.2,Rainy,Furrow,Sugarcane,112,63988,1,10,Immediate pesticide application recommended
2025-02-08,Sugarcane,Southwest,Summer,Aphids,17.3,68.6,137.9,28.5,69.2,8.0,Loam,133.9,25.9,232.7,Windy,Sprinkler,Cotton,113,42484,1,6,Monitor closely and consider treatment
2021-07-14,Cotton,North,Spring,Japanese Beetles,29.3,74.9,31.2,21.6,51.1,7.1,Sandy,68.1,19.8,205.9,Windy,Sprinkler,Barley,10,67840,1,7,Monitor closely and consider treatment
2022-01-21,Maize,Northwest,Winter,Leafhoppers,23.7,61.8,146.2,22.9,69.6,6.8,Clay,110.0,24.4,230.3,Stormy,Flood,Soybean,133,64591,1,8,Immediate pesticide application recommended
2020-10-01,Tomato,Southeast,Summer,Cutworms,17.7,41.2,121.7,7.8,28.5,8.3,Loam,135.0,15.9,85.9,Sunny,Drip,Cotton,27,34174,1,10,Immediate pesticide application recommended
2024-09-10,Tomato,Southeast,Winter,Armyworms,21.9,86.6,16.4,6.2,77.9,5.5,Silt,178.7,71.9,68.3,Rainy,Flood,Potato,72,33973,1,10,Immediate pesticide application recommended
2022-07-28,Rice,Central,Winter,Whiteflies,25.5,59.0,16.9,19.2,24.8,5.3,Sandy,199.4,30.6,85.3,Rainy,Flood,Potato,86,76671,1,10,Immediate pesticide application recommended
2025-09-19,Maize,North,Summer,Root Knot Nematodes,29.7,73.1,75.9,24.5,48.3,8.2,Loam,102.3,80.1,151.8,Dry,Flood,Rice,14,78798,1,10,Immediate pesticide application recommended
2022-08-21,Maize,West,Winter,Hessian Fly,33.8,68.4,67.2,7.8,73.7,6.3,Loam,161.8,8.0,108.0,Stormy,Drip,Tomato,114,47106,1,7,Monitor closely and consider treatment
2025-09-26,Potato,Northwest,Autumn,Corn Borers,16.0,41.3,38.9,5.3,24.3,7.7,Clay,88.3,43.5,291.7,Cloudy,Sprinkler,Cotton,29,53127,1,9,Immediate pesticide application recommended
2022-09-15,Barley,North,Summer,Spider Mites,25.0,55.8,81.9,17.5,27.4,7.8,Loam,104.3,5.7,197.8,Dry,Sprinkler,Soybean,117,70623,1,10,Immediate pesticide application recommended
2021-01-04,Tomato,South,Autumn,Grasshoppers,31.2,87.9,117.9,0.8,14.6,6.8,Peat,34.6,48.8,288.7,Dry,None,Cotton,52,65466,1,5,Monitor closely and consider treatment
2025-10-05,Potato,Southwest,Autumn,Root Knot Nematodes,30.7,42.6,39.0,25.8,66.8,7.8,Peat,156.5,48.6,232.2,Dry,Drip,Tomato,87,66260,1,9,Immediate pesticide application recommended
2025-04-12,Rice,East,Winter,Root Knot Nematodes,19.0,55.4,44.6,18.0,35.3,7.5,Peat,107.3,92.4,72.8,Rainy,Drip,Sugarcane,127,42620,1,8,Immediate pesticide application recommended
2020-05-07,Maize,West,Summer,Corn Borers,24.3,49.9,25.9,8.0,45.1,7.9,Sandy,64.0,20.0,118.0,Dry,Flood,Tomato,33,55896,1,7,Monitor closely and consider treatment
2025-02-27,Wheat,West,Spring,Japanese Beetles,37.6,30.1,90.1,27.5,45.6,5.0,Silt,51.6,92.6,54.3,Stormy,Sprinkler,Soybean,42,66109,1,7,Monitor closely and consider treatment
2020-06-10,Maize,Central,Summer,Corn Borers,26.9,45.1,90.0,7.9,27.9,7.8,Peat,39.3,5.5,134.2,Windy,Flood,Potato,71,70012,1,10,Immediate pesticide application recommended
2020-09-27,Rice,East,Spring,Whiteflies,31.6,70.7,99.9,8.1,36.8,7.2,Sandy,22.5,33.1,151.6,Rainy,Furrow,Barley,85,25942,1,10,Immediate pesticide application recommended
2020-06-16,Soybean,Southeast,Spring,Grasshoppers,26.8,88.8,57.0,15.8,10.2,6.1,Clay,174.6,36.7,113.3,Cloudy,Flood,Cotton,102,32830,1,10,Immediate pesticide application recommended
2023-10-01,Rice,Northeast,Summer,Armyworms,22.6,54.9,118.7,19.9,41.2,7.0,Clay,155.7,75.8,96.3,Cloudy,Flood,Soybean,12,49476,1,7,Monitor closely and consider treatment
2025-08-23,Tomato,South,Spring,Armyworms,15.3,41.3,121.2,16.4,33.9,7.1,Chalky,150.6,38.7,166.5,Dry,Furrow,Cotton,150,39862,1,6,Monitor closely and consider treatment
2022-08-01,Cotton,Northeast,Winter,Thrips,25.8,57.5,94.9,17.2,39.5,5.1,Chalky,128.0,88.6,242.4,Windy,Furrow,Barley,88,41334,1,9,Immediate pesticide application recommended
2020-06-20,Rice,Southwest,Summer,Corn Borers,28.5,45.3,5.2,12.1,30.1,5.9,Silt,191.1,27.7,82.4,Cloudy,None,Soybean,97,30007,1,10,Immediate pesticide application recommended
2025-03-28,Sugarcane,Central,Spring,Corn Borers,18.2,44.3,112.1,8.2,78.7,6.9,Silt,46.5,86.6,129.9,Sunny,Drip,Sugarcane,107,65221,1,10,Immediate pesticide application recommended
2021-01-18,Rice,North,Spring,Whiteflies,19.3,54.8,4.6,24.8,33.9,5.9,Sandy,120.2,72.0,253.2,Windy,Sprinkler,Soybean,44,72432,1,7,Monitor closely and consider treatment
2024-03-31,Sugarcane,Southwest,Summer,Thrips,17.5,85.0,82.1,18.1,75.6,7.0,Peat,11.1,87.7,121.2,Stormy,Sprinkler,Maize,31,61472,1,8,Immediate pesticide application recommended
2024-07-01,Cotton,Southeast,Summer,Stem Borers,32.2,57.9,94.1,24.7,33.9,7.0,Peat,157.7,72.9,185.0,Stormy,None,Sugarcane,47,21997,1,6,Monitor closely and consider treatment
2025-08-18,Barley,Central,Winter,Boll Weevils,23.7,75.4,18.8,29.0,64.5,6.0,Clay,18.1,72.6,233.6,Windy,Drip,Cotton,68,29119,0,0,None
2021-03-28,Cotton,Northwest,Summer,Cutworms,21.3,35.4,137.3,7.8,60.5,5.2,Chalky,154.5,17.1,223.9,Dry,Furrow,Wheat,61,30348,1,10,Immediate pesticide application recommended
2021-08-17,Wheat,North,Winter,Japanese Beetles,22.3,34.5,131.9,17.8,47.4,5.5,Loam,102.9,42.9,128.9,Dry,None,Potato,42,36651,1,10,Immediate pesticide application recommended
2020-05-18,Tomato,Northwest,Spring,Cutworms,33.6,48.4,90.1,4.2,18.2,7.2,Loam,171.7,11.4,76.5,Dry,Drip,Soybean,95,32207,1,7,Monitor closely and consider treatment
2022-06-13,Cotton,Southwest,Spring,Cutworms,20.4,37.6,81.8,25.9,58.0,7.9,Peat,60.6,89.2,144.3,Windy,Furrow,Wheat,107,22878,1,10,Immediate pesticide application recommended
2024-01-22,Tomato,North,Summer,Flea Beetles,21.5,66.9,11.9,27.9,29.0,6.2,Clay,54.3,5.3,223.1,Rainy,Furrow,Cotton,86,78091,1,10,Immediate pesticide application recommended
2020-09-16,Soybean,Northwest,Winter,Root Knot Nematodes,38.2,51.5,137.0,3.2,62.1,7.0,Chalky,78.1,12.5,201.2,Sunny,None,Wheat,75,77057,1,8,Immediate pesticide application recommended
2023-04-23,Tomato,Southwest,Autumn,Thrips,33.3,94.4,39.0,9.7,33.9,7.6,Chalky,187.0,97.6,286.5,Humid,Flood,Barley,19,26145,1,9,Immediate pesticide application recommended
2024-05-04,Cotton,Northeast,Winter,Cutworms,19.2,33.0,32.2,23.4,54.2,5.8,Peat,151.0,18.4,255.5,Cloudy,None,Potato,145,53335,1,5,Monitor closely and consider treatment
2023-04-24,Potato,Southeast,Autumn,Thrips,30.7,94.7,90.0,27.8,27.9,6.4,Peat,105.9,35.7,294.2,Windy,None,Barley,28,33500,1,10,Immediate pesticide application recommended
2021-08-24,Wheat,Southeast,Summer,Cutworms,26.7,31.1,81.5,18.8,78.7,5.1,Peat,107.3,14.3,87.2,Stormy,Drip,Rice,35,72387,1,9,Immediate pesticide application recommended
2024-11-28,Tomato,Southeast,Spring,Japanese Beetles,27.9,44.2,74.1,0.0,70.4,5.0,Peat,11.3,63.1,293.4,Humid,Flood,Potato,30,69392,1,10,Immediate pesticide application recommended
2022-02-02,Wheat,West,Spring,Grasshoppers,30.7,83.5,54.3,13.0,18.1,5.5,Clay,118.0,14.8,100.5,Rainy,Flood,Tomato,92,67831,1,4,Preventive measures recommended
2024-10-16,Tomato,East,Autumn,Leafhoppers,27.5,90.4,3.7,18.9,68.5,6.1,Peat,35.0,9.1,211.0,Sunny,Drip,Soybean,127,73010,1,10,Immediate pesticide application recommended
2020-10-15,Wheat,Northeast,Summer,Leafhoppers,33.4,48.0,113.0,7.3,57.3,5.4,Sandy,141.5,27.7,193.1,Humid,None,Barley,101,77848,1,8,Immediate pesticide application recommended
2023-05-08,Sugarcane,Northwest,Summer,Armyworms,19.1,42.0,6.2,22.4,78.7,7.7,Peat,173.5,5.6,79.5,Stormy,Flood,Barley,42,63090,1,10,Immediate pesticide application recommended
2022-10-27,Potato,North,Autumn,Whiteflies,24.4,39.5,22.9,10.9,60.0,5.1,Peat,171.9,94.4,272.2,Stormy,Furrow,Tomato,115,74703,1,10,Immediate pesticide application recommended
2021-05-26,Sugarcane,East,Summer,Spider Mites,19.7,59.0,6.6,1.2,76.0,7.8,Chalky,110.7,54.9,237.2,Stormy,None,Maize,50,54441,1,8,Immediate pesticide application recommended
2023-09-19,Tomato,North,Spring,Whiteflies,30.9,92.7,70.7,12.6,73.4,8.2,Sandy,198.6,57.3,136.1,Cloudy,Sprinkler,Cotton,63,22735,1,10,Immediate pesticide application recommended
2023-06-26,Tomato,Southwest,Autumn,Thrips,37.9,91.8,0.7,9.5,68.6,6.9,Chalky,163.4,86.1,160.7,Dry,Flood,Sugarcane,134,79418,1,5,Monitor closely and consider treatment
2022-05-22,Potato,Southwest,Spring,Stem Borers,24.2,80.4,135.6,8.5,77.5,7.2,Loam,176.9,14.9,112.9,Rainy,None,Barley,132,37616,1,7,Monitor closely and consider treatment
2022-09-28,Cotton,Northwest,Autumn,Cutworms,36.7,57.2,144.5,17.5,19.7,6.9,Sandy,198.8,58.7,50.5,Sunny,Flood,Barley,30,51298,1,10,Immediate pesticide application recommended
2023-11-21,Cotton,Northeast,Summer,Whiteflies,22.1,90.4,136.8,15.4,28.1,5.4,Peat,39.7,54.6,127.0,Windy,Furrow,Soybean,147,66434,1,8,Immediate pesticide application recommended
2021-01-08,Soybean,South,Spring,Leafhoppers,37.3,68.0,108.5,10.9,44.7,7.6,Silt,148.3,45.3,185.9,Dry,Sprinkler,Sugarcane,123,41183,1,10,Immediate pesticide application recommended
2022-09-15,Rice,Northwest,Winter,Japanese Beetles,34.6,37.5,78.4,28.8,35.3,6.0,Sandy,124.2,26.0,189.0,Rainy,Flood,Sugarcane,101,71585,1,6,Monitor closely and consider treatment
2023-08-18,Rice,Northeast,Winter,Leafhoppers,25.5,54.9,36.8,9.9,44.9,5.9,Peat,158.7,72.4,117.3,Sunny,Furrow,Potato,145,59246,1,10,Immediate pesticide application recommended
2020-12-08,Barley,North,Spring,Grasshoppers,24.0,92.5,103.5,25.7,20.1,5.3,Chalky,12.2,95.8,125.1,Rainy,None,Maize,25,74727,0,0,None
2022-05-22,Sugarcane,West,Spring,Boll Weevils,22.7,64.8,149.3,13.3,48.6,6.8,Chalky,162.6,30.3,92.6,Stormy,Flood,Potato,49,31308,1,10,Immediate pesticide application recommended
2023-06-28,Maize,East,Autumn,Grasshoppers,31.1,66.7,10.6,21.9,58.0,7.2,Chalky,60.9,94.9,130.4,Rainy,None,Maize,132,45006,1,10,Immediate pesticide application recommended
2022-05-03,Tomato,North,Autumn,Thrips,17.3,35.7,102.4,5.3,74.2,7.9,Chalky,68.2,89.4,60.7,Windy,Drip,Rice,139,22201,1,7,Monitor closely and consider treatment
2022-01-21,Wheat,West,Summer,Leafhoppers,20.3,63.4,89.5,1.0,38.9,7.9,Clay,94.4,21.1,288.7,Dry,Drip,Cotton,66,48746,1,8,Immediate pesticide application recommended
2022-04-26,Cotton,Southwest,Winter,Stem Borers,25.6,61.9,75.1,15.5,25.7,6.8,Silt,101.5,24.8,297.0,Windy,Drip,Cotton,93,37118,1,10,Immediate pesticide application recommended
2022-04-10,Sugarcane,North,Autumn,Hessian Fly,19.0,66.9,123.2,1.2,44.7,6.4,Sandy,50.3,40.9,295.9,Dry,Furrow,Wheat,121,51755,1,10,Immediate pesticide application recommended
2022-07-17,Sugarcane,East,Winter,Cutworms,21.2,69.7,134.4,16.7,61.3,6.6,Chalky,109.6,71.0,253.1,Sunny,Flood,Barley,111,65663,1,10,Immediate pesticide application recommended
2024-04-06,Rice,South,Summer,Whiteflies,22.0,58.1,84.7,13.9,69.3,5.1,Loam,49.7,88.8,64.8,Stormy,Furrow,Potato,49,72626,1,10,Immediate pesticide application recommended
2020-03-01,Cotton,North,Summer,Boll Weevils,29.0,92.0,34.2,26.2,29.8,5.9,Loam,104.7,11.8,146.1,Rainy,Sprinkler,Tomato,72,76419,1,10,Immediate pesticide application recommended
2023-07-18,Potato,Northwest,Autumn,Root Knot Nematodes,24.6,93.8,135.0,5.8,45.4,7.1,Sandy,165.6,89.1,206.0,Dry,Drip,Maize,108,31953,1,10,Immediate pesticide application recommended
2023-05-13,Soybean,West,Autumn,Stem Borers,32.9,86.6,101.1,1.3,77.8,8.2,Chalky,34.1,15.7,184.8,Humid,None,Soybean,83,69046,1,8,Immediate pesticide application recommended
2023-11-18,Wheat,Northwest,Spring,White Grubs,27.8,51.9,52.8,19.3,72.0,7.0,Loam,140.6,67.7,187.8,Stormy,Drip,Rice,139,24238,1,5,Monitor closely and consider treatment
2022-08-11,Potato,Northeast,Autumn,Boll Weevils,37.9,83.7,86.9,27.4,72.0,8.2,Peat,52.1,73.2,202.3,Cloudy,Flood,Soybean,34,72000,1,10,Immediate pesticide application recommended
2025-09-21,Maize,Northeast,Summer,Corn Borers,25.2,84.2,119.3,6.3,22.9,7.5,Loam,114.6,57.9,238.1,Humid,None,Tomato,55,54079,1,10,Immediate pesticide application recommended
2022-09-18,Barley,Southwest,Autumn,White Grubs,35.7,86.7,43.1,3.1,26.3,8.3,Silt,97.9,44.8,53.3,Rainy,Furrow,Sugarcane,99,44853,1,7,Monitor closely and consider treatment
