date,crop,region,season,yield_prediction,global_demand,weather_impact,economic_condition,supply_index,demand_index,inventory_level,export_demand,production_cost,days_to_harvest,fertilizer_usage,irrigation_usage,price_per_ton
2021-10-20,Rice,Southeast,Summer,4.37,low,excellent,growth,89.5,54.29,17.46,77.51,162.44,48,medium,high,318.36
2020-05-14,Sugarcane,Central,Winter,1.12,low,excellent,growth,39.59,52.62,17.46,33.84,34.12,95,high,medium,64.18
2023-02-19,Sugarcane,Northeast,Autumn,6.39,medium,poor,growth,79.05,80.47,39.43,80.73,28.15,115,high,low,93.0
2021-07-13,Potato,North,Winter,2.5,medium,normal,recession,77.37,55.77,18.91,28.35,114.74,177,medium,medium,182.45
2024-12-10,Wheat,Northwest,Autumn,7.23,medium,poor,growth,89.46,51.42,30.45,35.31,177.98,76,medium,low,221.92
2021-01-11,Tea,East,Winter,4.88,low,poor,growth,71.44,67.17,68.18,78.51,1784.69,128,high,low,5373.43
2024-12-30,Tomato,Southeast,Spring,5.43,high,poor,recession,85.31,85.79,56.5,20.54,70.44,86,medium,low,276.33
2020-06-01,Tea,South,Autumn,5.2,high,poor,growth,64.6,47.37,24.53,73.52,2303.18,47,high,medium,9460.45
2022-12-07,Wheat,West,Summer,1.37,medium,excellent,stable,37.99,68.53,66.31,75.38,164.96,73,high,low,501.51
2025-09-15,Tea,Southwest,Winter,1.75,medium,normal,stable,66.92,79.34,50.74,87.41,2093.35,42,low,medium,6012.15
2024-10-15,Coffee,Northwest,Summer,5.91,high,normal,growth,33.62,36.46,64.94,33.88,786.04,63,low,low,3564.69
2025-05-29,Cotton,Southeast,Winter,1.34,medium,normal,recession,47.1,67.42,63.42,20.73,833.59,155,medium,low,2131.82
2021-04-08,Cotton,Northeast,Winter,2.5,high,excellent,growth,89.93,70.26,38.4,25.3,1078.8,58,high,low,1676.55
2025-08-21,Wheat,Northeast,Spring,3.02,low,normal,stable,88.89,56.37,30.72,44.39,139.95,91,high,high,143.12
2023-08-11,Potato,Central,Summer,7.56,medium,poor,recession,74.11,64.63,21.4,30.45,165.33,156,medium,low,268.01
2024-09-07,Potato,Central,Winter,2.58,high,normal,recession,36.01,53.07,74.27,58.18,138.01,122,high,low,406.95
2024-03-30,Maize,South,Winter,3.27,high,normal,stable,37.93,58.39,65.4,87.8,110.16,160,medium,medium,486.11
2022-08-11,Potato,West,Autumn,6.3,high,excellent,growth,34.3,81.01,68.05,53.08,174.06,115,high,high,352.75
2021-01-20,Barley,Southwest,Summer,5.99,medium,normal,growth,70.6,30.99,18.57,31.38,149.12,178,high,medium,218.95
2023-03-26,Maize,Northeast,Summer,6.41,low,poor,growth,50.46,74.93,40.96,46.4,93.3,81,low,high,215.65
2024-11-01,Soybean,Southeast,Spring,7.75,low,normal,stable,76.32,31.21,77.02,74.28,168.56,58,high,low,203.36
2020-08-25,Sugarcane,West,Summer,5.37,medium,poor,growth,66.99,46.55,41.2,34.83,16.26,39,low,high,60.36
2024-07-05,Barley,Southwest,Winter,4.62,high,poor,recession,50.82,62.57,76.26,30.04,66.22,112,high,medium,282.89
2023-08-08,Maize,Southwest,Winter,5.95,medium,poor,recession,64.85,59.69,34.78,41.7,97.63,114,medium,low,244.88
2024-01-31,Maize,North,Summer,5.28,high,excellent,stable,40.07,76.28,50.27,38.84,110.12,170,medium,medium,229.96
2025-01-04,Tomato,South,Spring,5.47,low,excellent,recession,42.73,85.88,54.98,81.42,92.93,133,high,high,140.09
2021-03-03,Barley,Central,Autumn,6.8,low,normal,recession,52.69,45.17,73.82,26.46,169.72,176,low,low,66.0
2020-01-26,Coffee,West,Spring,4.78,medium,excellent,stable,75.45,30.42,44.77,71.62,1728.53,160,medium,medium,2076.66
2024-02-07,Barley,Central,Winter,2.11,medium,excellent,growth,55.14,55.14,17.25,51.01,154.78,44,medium,medium,246.21
2021-01-25,Tea,Northwest,Winter,7.73,high,poor,stable,31.9,65.49,62.04,73.26,1973.91,106,low,low,6773.99
2024-04-11,Tea,Central,Summer,6.09,medium,excellent,stable,33.54,62.05,64.81,26.58,918.07,82,medium,low,1833.43
2021-05-05,Rice,South,Autumn,3.89,medium,normal,recession,86.42,76.0,77.75,85.05,216.26,180,low,medium,393.96
2022-12-30,Wheat,Central,Spring,6.28,high,poor,stable,70.15,78.69,65.14,30.73,104.22,125,medium,high,324.62
2023-03-19,Sugarcane,East,Autumn,6.68,low,poor,growth,59.72,64.85,67.88,41.88,16.25,55,medium,high,46.07
2024-12-04,Potato,North,Autumn,4.38,medium,poor,stable,84.82,77.43,35.66,24.53,185.54,176,medium,low,391.72
2021-03-29,Tea,Central,Autumn,3.98,low,poor,growth,37.4,84.65,29.32,35.7,2123.96,47,low,medium,5442.45
2020-12-22,Potato,Northwest,Autumn,7.87,high,poor,stable,69.61,67.49,32.36,21.43,118.77,101,high,low,358.62
2025-06-16,Wheat,South,Spring,7.19,high,excellent,growth,41.29,61.33,45.84,62.28,115.93,136,high,high,309.49
2021-10-14,Rice,West,Summer,7.11,high,excellent,recession,56.66,72.01,54.51,28.2,244.53,124,medium,medium,275.44
2022-07-19,Tomato,Central,Spring,7.17,low,poor,stable,39.06,34.9,30.62,89.06,62.16,157,low,low,205.14
2021-05-16,Potato,Northeast,Winter,5.71,low,excellent,recession,66.51,68.79,25.28,35.87,154.6,135,medium,high,129.82
2021-07-06,Sugarcane,East,Autumn,3.78,medium,normal,stable,47.62,48.95,24.51,48.81,20.08,136,low,low,58.2
2022-02-15,Rice,West,Autumn,5.89,high,normal,stable,37.44,86.89,16.29,86.04,286.66,73,low,high,1176.12
2021-12-12,Coffee,Central,Spring,1.97,medium,poor,stable,40.58,45.13,27.14,41.76,1469.54,93,high,medium,7368.58
2020-06-03,Soybean,Southeast,Winter,1.2,low,excellent,stable,52.94,44.78,52.46,88.96,251.47,96,medium,high,429.62
2023-10-03,Tea,North,Winter,6.49,low,poor,growth,34.32,87.59,39.25,41.96,2361.1,164,low,low,3338.01
2025-05-18,Coffee,Northeast,Spring,7.55,medium,poor,stable,68.52,31.11,62.4,43.49,1235.35,64,low,medium,2257.04
2023-05-25,Rice,East,Spring,6.21,low,poor,stable,46.38,86.32,23.63,24.64,248.87,57,medium,medium,362.5
2024-06-30,Rice,Southeast,Spring,6.95,high,normal,stable,87.19,76.03,23.98,88.44,303.89,94,high,low,619.3
2023-01-22,Cotton,Central,Spring,4.89,low,poor,growth,56.55,89.06,14.17,63.9,724.77,80,medium,medium,3430.18
2024-09-10,Wheat,East,Autumn,4.69,high,poor,stable,76.78,44.8,37.54,86.55,170.19,140,high,medium,544.66
2024-10-23,Rice,Northwest,Spring,3.98,high,normal,growth,76.44,79.23,27.12,66.34,139.0,151,high,low,824.63
2024-12-22,Wheat,Northeast,Summer,1.16,high,normal,growth,62.92,43.46,15.52,71.09,137.25,75,low,low,807.63
2022-06-20,Rice,South,Autumn,6.11,low,excellent,growth,48.44,45.8,52.06,34.01,283.08,99,high,low,160.4
2023-05-17,Rice,Central,Spring,4.66,low,poor,growth,43.62,67.51,76.15,25.75,141.87,122,high,high,499.9
2021-01-10,Coffee,West,Spring,4.27,medium,poor,stable,64.17,60.44,73.92,73.81,1979.76,112,low,low,4540.76
2024-04-21,Maize,North,Spring,4.34,medium,normal,recession,35.06,87.33,10.29,74.33,63.13,68,low,high,300.07
2023-06-06,Tea,Central,Autumn,2.58,medium,excellent,growth,59.5,40.25,57.1,45.78,1384.66,161,high,medium,2188.75
2021-01-22,Cotton,Central,Spring,4.23,high,excellent,recession,62.56,38.52,59.54,81.81,790.19,148,low,high,1747.11
2022-04-28,Barley,Southeast,Winter,2.28,high,normal,growth,32.48,67.15,26.78,32.03,173.98,56,medium,medium,446.19
2020-03-20,Tea,South,Autumn,3.04,low,poor,growth,84.21,40.69,67.33,55.14,1017.89,59,high,high,3366.23
2023-01-21,Rice,South,Summer,2.14,low,excellent,stable,73.54,56.7,62.77,69.97,125.32,65,low,low,182.53
2020-02-08,Sugarcane,Southwest,Summer,2.25,low,normal,recession,58.26,86.02,33.95,64.02,15.3,169,medium,high,37.4
2022-01-24,Maize,East,Autumn,6.01,medium,poor,stable,84.28,38.79,28.31,89.7,75.63,152,low,high,303.13
2023-08-10,Maize,North,Summer,6.04,medium,poor,stable,73.5,70.98,25.92,35.06,126.63,70,low,high,221.32
2021-09-06,Potato,North,Winter,4.45,medium,normal,recession,53.2,48.01,76.33,55.57,174.19,109,low,high,206.48
2020-06-09,Tea,Southwest,Winter,7.64,high,excellent,stable,69.23,87.47,17.45,79.26,1403.12,131,medium,medium,4914.5
2021-07-08,Tomato,Northwest,Winter,2.9,low,poor,recession,54.53,73.56,16.93,72.89,71.05,144,high,medium,369.6
2020-02-28,Soybean,North,Spring,7.4,low,poor,growth,46.58,64.54,18.2,38.86,225.89,39,medium,low,522.59
2023-09-04,Tea,Northwest,Summer,4.67,medium,normal,recession,42.5,66.44,47.61,31.5,1257.18,118,medium,low,2818.11
2021-10-06,Cotton,Central,Spring,1.47,medium,excellent,growth,33.98,30.83,25.43,67.58,824.59,166,high,high,2908.05
2022-09-18,Coffee,East,Winter,5.03,medium,excellent,growth,50.53,70.58,61.9,60.93,1095.09,89,high,high,3015.94
2025-07-06,Maize,West,Spring,4.56,high,poor,growth,45.12,84.17,63.65,54.51,156.55,177,low,medium,624.82
2020-05-03,Barley,East,Winter,1.67,high,excellent,stable,62.62,81.62,70.67,62.32,109.28,162,low,medium,443.54
2025-03-23,Soybean,East,Summer,5.55,medium,normal,growth,75.73,54.7,43.34,67.64,332.25,89,low,high,421.32
2025-01-16,Coffee,Northeast,Summer,5.09,low,poor,growth,84.35,84.69,64.82,34.67,1662.85,139,high,high,2960.11
2022-12-11,Maize,South,Summer,1.71,medium,poor,stable,83.64,38.95,56.36,62.72,137.69,149,high,low,369.73
2024-09-09,Wheat,Northwest,Spring,5.94,medium,normal,stable,52.99,49.22,79.42,61.33,163.84,31,high,high,225.82
2025-12-28,Soybean,Central,Winter,4.68,low,normal,stable,76.2,75.12,56.0,89.84,238.45,126,high,medium,434.73
2020-08-14,Sugarcane,East,Spring,3.63,low,excellent,recession,57.43,88.15,12.26,43.47,27.16,113,high,medium,35.76
2024-12-15,Coffee,Central,Autumn,1.01,high,normal,stable,83.95,47.17,28.04,77.42,1097.48,73,low,medium,7163.9
2025-03-17,Cotton,Northeast,Spring,6.55,low,poor,growth,76.92,35.32,15.59,41.47,572.35,38,high,medium,1687.73
2023-01-06,Rice,Northeast,Autumn,4.5,low,excellent,stable,53.69,63.42,30.92,54.0,186.95,83,high,high,231.36
2025-09-20,Rice,South,Spring,5.71,high,normal,stable,79.75,82.49,59.31,68.12,131.34,109,medium,low,522.44
2020-04-04,Barley,Southeast,Summer,1.77,medium,normal,growth,78.75,43.98,34.89,30.17,87.47,32,medium,high,244.48
2021-02-21,Soybean,South,Winter,4.14,low,normal,recession,39.1,70.68,60.98,45.32,311.57,66,low,medium,346.02
2024-08-20,Sugarcane,Northwest,Winter,2.68,low,excellent,recession,71.51,73.8,77.81,36.26,17.34,74,low,high,15.79
2022-08-12,Rice,East,Spring,2.19,medium,poor,growth,50.05,54.84,73.26,33.69,314.35,175,low,medium,540.96
2022-09-12,Tea,Northwest,Autumn,6.67,low,poor,recession,82.89,85.77,62.73,75.21,1556.73,71,medium,high,2602.39
2021-10-01,Coffee,Southeast,Summer,3.65,medium,poor,recession,32.52,75.77,50.12,77.04,844.44,52,medium,high,5416.95
2023-09-04,Barley,South,Spring,5.35,high,excellent,stable,44.86,84.2,17.69,79.01,75.74,71,low,low,526.72
2022-01-26,Cotton,Central,Spring,1.92,low,poor,growth,56.24,42.26,69.87,23.15,860.34,54,high,low,2063.47
2020-07-29,Sugarcane,Central,Autumn,5.42,high,poor,growth,84.79,82.08,72.66,24.4,36.02,39,low,low,97.57
2023-10-23,Tomato,East,Autumn,3.18,low,excellent,stable,84.71,54.16,54.39,49.69,102.76,36,high,low,90.38
2023-10-16,Wheat,East,Autumn,4.83,medium,poor,stable,51.36,77.56,54.35,68.28,103.88,170,medium,high,521.33
2021-10-13,Tea,West,Summer,2.38,low,normal,growth,75.03,40.42,14.44,56.93,1730.29,176,medium,low,2453.05
2022-03-05,Tea,East,Spring,2.32,medium,poor,growth,50.9,86.75,29.95,30.89,2388.84,109,high,medium,7831.93
2020-07-25,Barley,West,Autumn,2.62,medium,poor,recession,63.01,53.18,77.31,50.3,130.26,41,medium,medium,239.22
2020-12-09,Wheat,North,Autumn,7.61,medium,poor,recession,89.35,36.1,68.4,46.75,149.35,33,high,medium,168.5
2021-02-17,Barley,South,Summer,2.11,medium,normal,stable,64.37,62.8,23.25,57.92,173.04,146,high,medium,242.75
2023-08-08,Wheat,Northwest,Summer,6.0,high,excellent,recession,58.86,84.97,50.27,29.45,143.44,89,high,medium,167.11
2024-12-13,Potato,East,Spring,7.77,medium,normal,recession,51.65,56.1,39.5,39.97,209.13,163,high,high,130.7
2021-11-07,Tomato,Northwest,Winter,5.32,medium,normal,stable,33.84,80.33,23.1,88.54,97.67,142,medium,low,390.23
2020-09-18,Tomato,Northwest,Winter,3.41,high,poor,recession,78.14,58.63,73.32,60.26,152.86,84,high,high,260.75
2024-01-20,Tomato,West,Winter,7.88,high,excellent,recession,57.23,63.91,68.44,35.51,146.16,40,medium,high,108.86
2024-04-06,Barley,North,Autumn,1.56,medium,poor,growth,75.97,48.65,66.37,55.64,96.21,94,medium,medium,522.46
2024-07-31,Sugarcane,Southwest,Spring,7.67,high,excellent,stable,75.9,89.14,35.51,65.45,30.29,87,medium,low,39.05
2020-05-04,Tomato,North,Winter,3.04,high,excellent,stable,84.56,55.43,77.25,34.95,159.74,109,high,high,129.33
2024-11-01,Barley,South,Autumn,5.88,medium,normal,growth,76.58,53.81,73.49,58.18,140.9,114,high,low,192.34
2022-05-16,Rice,Southwest,Autumn,7.15,low,excellent,stable,40.7,74.26,11.78,84.83,316.58,65,low,medium,303.47
2022-09-09,Soybean,West,Summer,3.48,high,poor,stable,36.42,69.51,12.09,53.77,196.15,50,high,high,1533.32
2021-03-11,Soybean,North,Winter,1.36,low,excellent,stable,30.96,67.15,49.21,36.32,280.49,137,medium,low,392.58
2021-07-31,Wheat,Northwest,Spring,7.19,medium,poor,stable,46.64,79.92,56.38,22.37,121.89,173,high,medium,314.16
2022-09-19,Wheat,Northeast,Autumn,3.01,high,excellent,stable,88.96,71.07,36.1,26.79,97.67,116,low,high,179.67
2025-12-10,Soybean,Central,Spring,4.41,medium,excellent,growth,59.68,76.06,60.83,34.09,268.87,135,medium,medium,447.53
2020-04-30,Tomato,Southwest,Summer,6.35,high,excellent,growth,53.97,80.14,78.33,62.5,74.5,64,low,low,216.84
2021-01-22,Potato,East,Spring,3.66,medium,poor,growth,30.57,66.16,67.51,64.1,207.91,109,medium,low,762.3
2024-07-27,Maize,Central,Winter,2.87,low,excellent,stable,82.28,69.25,30.28,89.11,155.02,123,high,medium,148.48
2024-02-11,Wheat,Central,Spring,5.02,low,excellent,stable,80.59,45.69,39.12,32.88,140.01,171,medium,medium,83.6
2022-07-22,Rice,Southwest,Winter,5.71,medium,normal,recession,37.07,33.7,36.94,48.69,183.95,140,low,medium,319.6
2020-02-18,Potato,North,Autumn,2.81,high,excellent,stable,50.33,39.8,38.24,83.32,123.66,150,low,low,337.31
2023-12-10,Rice,Southwest,Winter,3.48,medium,poor,recession,49.27,86.22,39.96,68.33,240.49,92,low,medium,682.59
2023-03-14,Wheat,Central,Autumn,1.99,low,poor,stable,86.37,50.75,13.13,41.03,116.95,92,low,medium,407.35
2020-06-26,Tea,Southeast,Winter,3.43,high,normal,growth,67.75,30.4,78.74,31.94,1889.0,45,low,high,2713.84
2021-03-19,Soybean,West,Spring,6.01,medium,normal,growth,40.3,36.7,20.68,37.28,172.85,158,high,high,343.43
2020-11-23,Soybean,Southeast,Summer,4.76,medium,normal,recession,32.84,81.67,21.94,45.21,151.18,102,high,low,627.76
2022-02-07,Tea,West,Spring,1.96,low,excellent,stable,69.95,71.56,57.39,58.65,2328.78,103,low,low,1886.95
2021-05-30,Rice,Central,Autumn,2.73,high,normal,stable,35.93,62.89,32.04,56.68,161.22,54,high,low,746.53
2023-12-01,Potato,Northeast,Spring,6.87,medium,poor,recession,89.98,49.34,68.96,81.11,239.41,92,medium,low,293.83
2025-11-10,Soybean,West,Summer,2.6,medium,normal,growth,67.49,72.29,61.88,34.5,325.96,150,medium,low,410.7
2020-08-14,Cotton,West,Winter,3.95,low,normal,recession,42.98,62.55,70.43,87.7,1213.39,69,low,low,1354.59
2020-03-27,Cotton,Central,Spring,1.8,high,poor,recession,82.93,66.93,65.75,46.01,909.21,36,high,low,3544.21
2021-09-25,Sugarcane,North,Winter,3.22,low,poor,growth,56.31,66.62,44.51,78.65,37.5,132,high,high,82.34
2025-07-02,Wheat,North,Autumn,7.62,low,poor,recession,74.1,68.41,62.18,25.32,83.45,109,medium,low,124.39
2021-02-26,Sugarcane,Northwest,Summer,2.07,high,normal,recession,38.85,55.24,21.02,79.82,29.45,173,medium,high,111.03
2024-11-08,Cotton,Southeast,Spring,5.14,low,normal,recession,36.99,74.59,66.19,58.08,674.64,110,high,high,1291.74
2022-10-20,Coffee,Central,Autumn,6.51,high,poor,stable,48.47,43.36,42.94,84.59,1121.72,51,high,medium,5207.91
2025-06-15,Cotton,West,Winter,2.33,medium,excellent,recession,49.0,38.18,33.26,39.63,1202.7,132,high,low,708.98
2020-04-07,Coffee,Northeast,Spring,5.91,high,poor,stable,87.3,73.47,58.64,68.59,1853.71,178,high,medium,5071.48
2022-12-16,Maize,West,Summer,6.19,low,normal,growth,43.72,84.72,47.43,41.01,137.61,124,high,low,144.06
2024-04-27,Tomato,North,Summer,3.19,high,excellent,growth,87.8,88.98,56.68,27.95,86.32,115,high,low,228.8
2025-08-30,Tomato,North,Autumn,2.29,low,normal,stable,36.26,34.47,45.49,81.93,64.24,41,medium,high,182.51
2021-07-15,Tomato,South,Winter,2.49,low,normal,stable,71.6,79.55,66.52,74.95,72.98,105,low,medium,183.82
2023-04-28,Soybean,Northwest,Winter,7.92,medium,normal,stable,66.15,72.56,76.59,51.49,165.8,103,medium,high,282.76
2020-01-28,Soybean,West,Spring,5.68,medium,normal,stable,87.61,71.83,66.23,49.59,156.7,43,low,medium,352.6
2025-09-17,Sugarcane,Southwest,Summer,7.69,medium,normal,growth,59.87,80.18,48.39,27.12,30.39,141,low,high,43.67
2025-07-17,Potato,Northeast,Autumn,7.98,low,normal,stable,32.08,80.51,26.48,47.57,145.91,88,high,medium,229.42
2020-03-16,Soybean,Southeast,Spring,4.13,high,poor,recession,79.08,32.93,16.05,21.52,289.8,61,low,medium,658.18
2020-05-15,Potato,East,Autumn,4.68,medium,normal,growth,82.56,59.91,25.53,76.36,134.15,80,high,medium,448.8
2022-02-24,Rice,Southeast,Spring,1.35,high,excellent,recession,32.18,59.76,25.06,20.65,179.21,66,high,high,619.48
2020-11-19,Potato,North,Winter,4.34,high,poor,stable,53.66,38.13,50.58,69.72,191.33,64,medium,high,514.64
2023-02-28,Potato,Central,Summer,4.5,low,excellent,stable,83.43,58.12,23.7,26.51,231.59,44,low,low,127.41
2022-04-10,Wheat,West,Autumn,6.2,low,excellent,growth,48.78,47.72,72.67,32.43,141.88,160,high,medium,81.8
2025-01-11,Maize,Northwest,Autumn,1.28,low,excellent,recession,43.67,84.11,46.62,77.08,115.57,139,low,medium,246.19
2023-01-04,Soybean,Southeast,Autumn,7.61,medium,normal,growth,84.55,58.97,32.28,62.12,286.85,120,high,high,328.85
2024-03-11,Potato,Southwest,Spring,2.28,low,normal,growth,50.06,71.18,27.27,50.79,234.56,79,high,low,393.01
2025-10-22,Soybean,East,Winter,5.38,high,poor,growth,86.94,73.35,60.73,61.43,167.0,88,low,low,1076.37
2024-01-18,Soybean,North,Summer,7.99,low,excellent,recession,46.02,43.84,53.67,55.77,139.8,130,high,low,142.36
2020-05-05,Sugarcane,South,Winter,1.91,medium,normal,growth,78.66,59.02,20.22,52.57,21.33,37,high,medium,85.03
2023-03-19,Soybean,Southeast,Autumn,7.79,high,normal,recession,77.69,45.26,38.62,80.36,215.42,50,low,high,363.66
2021-02-11,Barley,Southwest,Spring,4.97,low,poor,stable,62.09,54.08,54.77,53.13,68.34,31,low,high,245.39
2021-06-11,Tomato,East,Spring,4.25,medium,excellent,stable,64.79,72.33,38.76,71.49,73.14,116,high,medium,208.78
2025-04-25,Tomato,East,Winter,5.57,medium,normal,stable,79.58,83.37,50.57,41.9,76.34,99,low,low,205.78
2021-02-17,Barley,Northeast,Autumn,2.37,low,poor,growth,87.15,83.83,12.31,59.34,152.82,146,low,high,319.57
2022-12-06,Potato,Southwest,Summer,2.72,high,normal,growth,61.43,54.36,23.76,63.03,239.05,178,low,low,625.31
2020-07-29,Rice,North,Spring,3.29,low,normal,recession,82.62,81.88,22.51,83.0,150.3,155,medium,low,305.9
2022-12-02,Soybean,West,Autumn,1.67,high,excellent,stable,69.18,53.15,47.15,65.68,146.89,175,high,medium,591.03
2023-01-11,Barley,Northwest,Spring,2.87,medium,normal,stable,32.94,35.2,66.12,83.8,82.75,93,low,low,260.92
2024-10-31,Maize,North,Summer,2.74,low,excellent,stable,69.13,87.26,30.97,79.86,110.6,86,low,high,188.74
2020-11-23,Cotton,North,Winter,7.67,high,poor,recession,57.52,61.8,66.33,70.58,1097.64,149,medium,low,3029.4
2020-06-09,Maize,Northwest,Summer,3.92,medium,poor,growth,77.55,86.89,10.69,61.15,146.6,109,high,medium,488.6
2023-07-03,Maize,Northwest,Autumn,7.27,high,excellent,growth,75.06,73.02,77.53,80.46,141.54,36,high,low,226.91
2024-10-08,Tomato,North,Spring,1.6,high,poor,stable,44.34,63.41,59.67,41.23,69.33,68,low,low,923.43
2021-07-13,Tea,Northwest,Spring,7.14,low,poor,growth,84.77,52.73,36.08,48.47,1463.71,179,medium,medium,2118.29
2025-04-12,Barley,Northeast,Winter,5.66,low,poor,recession,51.5,31.22,40.73,35.69,69.17,83,low,medium,117.42
2020-04-01,Coffee,Southwest,Winter,4.17,medium,poor,stable,46.66,66.22,79.36,58.31,1558.62,122,medium,high,4619.72
2020-01-10,Barley,East,Summer,7.43,low,excellent,growth,52.44,39.99,29.8,48.2,136.95,167,low,medium,97.66
2021-01-13,Coffee,Central,Spring,5.94,medium,normal,recession,42.2,83.83,32.16,42.88,1897.07,73,high,medium,2671.61
2025-07-11,Barley,North,Spring,1.09,medium,excellent,growth,41.64,55.32,59.05,65.33,139.64,169,medium,medium,446.85
2024-12-30,Cotton,Southwest,Winter,5.45,medium,normal,growth,56.9,31.03,14.23,28.33,848.9,168,medium,low,1680.54
2023-04-29,Cotton,South,Autumn,1.82,medium,poor,stable,55.56,40.72,64.54,81.0,890.68,142,low,low,4702.96
2020-11-20,Sugarcane,Central,Winter,4.75,low,normal,recession,89.7,38.53,70.36,54.8,15.57,158,medium,medium,20.17
2024-09-15,Tomato,South,Autumn,7.81,high,poor,recession,87.9,53.0,76.79,29.87,128.01,108,low,high,139.79
2024-02-22,Soybean,Northeast,Spring,6.46,high,excellent,stable,52.64,30.43,39.0,35.96,288.75,132,low,low,214.85
2023-08-15,Sugarcane,Central,Summer,2.36,medium,excellent,recession,80.54,46.03,37.51,40.86,31.1,176,medium,low,25.55
2023-07-27,Sugarcane,Northwest,Autumn,3.34,low,normal,growth,83.05,34.4,68.08,31.74,17.21,173,high,high,25.96
2020-09-24,Coffee,Southwest,Autumn,2.42,high,normal,stable,36.16,61.26,79.18,22.4,1326.41,99,high,low,2811.71
2024-04-14,Wheat,Southeast,Winter,3.32,medium,excellent,recession,83.7,31.14,64.24,37.71,122.91,139,medium,low,97.25
2020-06-11,Potato,West,Winter,3.94,high,excellent,stable,48.28,35.61,18.0,40.87,213.27,85,medium,medium,327.99
2023-01-12,Rice,East,Autumn,3.02,high,poor,recession,83.01,55.7,22.02,89.01,155.33,140,high,medium,862.2
2023-09-30,Tea,Southwest,Summer,4.97,medium,poor,stable,64.16,52.37,76.6,79.07,2144.73,169,low,medium,4477.75
2020-07-31,Wheat,Central,Spring,1.68,medium,excellent,growth,75.93,52.85,23.32,53.83,190.71,81,medium,medium,352.46
2021-03-09,Tomato,Northwest,Autumn,2.2,medium,excellent,recession,80.92,55.09,19.58,79.39,156.96,140,high,high,150.92
2023-02-05,Wheat,West,Summer,3.73,medium,poor,stable,78.85,30.63,25.68,69.41,125.7,157,low,low,365.23
2022-11-26,Sugarcane,Northwest,Summer,3.31,low,poor,recession,82.34,85.04,76.36,39.08,37.81,31,low,high,31.45
2022-08-05,Potato,Southwest,Autumn,5.27,high,poor,stable,31.58,72.5,61.35,75.25,115.88,89,low,high,1158.32
2020-01-03,Maize,Northeast,Winter,5.4,medium,poor,recession,40.73,86.8,57.25,26.67,78.7,178,high,high,261.96
2020-04-05,Cotton,Northwest,Summer,6.15,medium,excellent,growth,46.85,69.48,22.39,58.06,1402.02,41,high,low,2181.92
2021-01-23,Barley,Central,Spring,5.4,low,excellent,stable,33.0,89.33,20.98,70.26,124.58,116,high,low,239.39
2025-02-13,Coffee,Southwest,Autumn,2.24,medium,excellent,growth,81.5,82.37,42.56,27.25,1855.21,98,high,high,1823.94
2024-03-29,Potato,Northwest,Spring,4.41,high,normal,recession,56.33,54.44,35.55,56.82,180.68,139,low,low,349.43
2022-05-13,Soybean,Southeast,Spring,3.22,medium,poor,recession,64.7,48.0,62.73,27.15,177.46,143,low,low,366.68
2020-09-13,Coffee,South,Winter,6.61,medium,normal,recession,40.99,67.54,77.92,56.6,984.25,129,high,medium,1779.61
2023-01-16,Tea,Southeast,Summer,3.46,high,excellent,stable,73.41,76.64,45.08,74.82,1375.35,141,low,low,4172.62
2023-09-20,Potato,Northwest,Autumn,4.61,low,excellent,stable,71.19,40.08,29.15,65.64,188.3,95,medium,high,171.1
2022-05-01,Sugarcane,South,Summer,4.37,medium,excellent,growth,82.88,74.15,32.03,47.67,31.69,157,medium,low,47.94
2025-02-20,Maize,Northwest,Autumn,7.26,low,excellent,recession,40.72,60.88,18.31,39.56,128.6,94,low,high,79.23
2021-06-18,Tomato,Southwest,Winter,7.31,low,normal,recession,88.16,43.0,62.42,84.85,69.14,96,high,high,78.94
2021-05-09,Rice,East,Summer,3.9,low,excellent,recession,85.16,42.17,75.36,56.9,139.98,177,high,high,120.0
2025-08-18,Rice,Northeast,Spring,2.98,low,normal,growth,62.49,59.02,43.74,26.17,280.46,61,low,low,259.78
2020-08-08,Wheat,Central,Autumn,4.37,high,normal,stable,79.25,79.48,32.2,20.3,188.91,137,medium,medium,274.9
2022-07-10,Cotton,Central,Spring,5.91,high,normal,growth,31.2,31.67,46.81,26.72,1407.9,127,medium,low,2467.91
2022-08-21,Cotton,Southeast,Summer,7.26,high,poor,recession,68.99,33.82,32.74,46.02,972.79,132,high,high,1844.68
2023-09-07,Cotton,Northwest,Winter,4.05,medium,excellent,stable,86.84,86.17,49.58,65.1,664.02,132,medium,medium,1309.42
2020-01-27,Sugarcane,Southeast,Autumn,2.56,medium,normal,recession,84.04,71.95,23.26,59.91,38.37,173,medium,low,46.15
2020-08-07,Tomato,Northeast,Summer,7.59,high,normal,stable,57.68,55.03,28.73,82.41,144.56,114,medium,low,297.05
2024-07-02,Potato,Northeast,Spring,3.82,medium,excellent,growth,31.84,56.8,22.66,29.99,148.96,167,high,medium,357.64
2021-03-16,Maize,Southwest,Winter,2.14,low,normal,stable,71.33,34.73,48.28,74.12,155.01,106,high,medium,141.35
2020-05-06,Maize,North,Winter,5.89,low,excellent,growth,35.97,35.31,61.21,35.07,104.72,171,medium,high,115.66
2022-05-06,Sugarcane,East,Winter,3.51,high,poor,growth,89.91,46.78,51.3,39.74,17.8,164,medium,high,88.14
